product_query,video_id,video_title,video_url,channel_name,published_at,view_count,comment_count,video_like_count,comment_id,author_name,comment_text,cleaned_comment_text,comment_like_count,detected_language,is_empty,is_deleted,is_short_comment,is_spam,updated_at,comment_length
Steam Deck,aQasDa8AGLA,Is Steam Deck Worth Buying in 2025?,https://www.youtube.com/watch?v=aQasDa8AGLA,ShoAndTech,2025-02-03T17:18:42Z,1684331,751,29366.0,UgzjI3-sXWzn7_IDMTV4AaABAg,@RishabhKhanna-rh2fr,Bazitte os in rog ally x 🤌🏻,bazitte os in rog ally x 🤌🏻,0,english,False,False,,False,2026-02-07T15:27:04Z,27
Steam Deck,s1zvE1Ug8SY,"Not Cool, Valve…",https://www.youtube.com/watch?v=s1zvE1Ug8SY,TechLinked,2026-05-28T00:50:48Z,273362,1146,13195.0,Ugxwp_PiQj1GWCBhxPp4AaABAg,@speeench,Anthropic no longer owns the Model Context Protocol. It's been licensed out to the Linux Foundation. 6:50,anthropic no longer owns the model context protocol. it's been licensed out to the linux foundation. 6:50,0,english,False,False,,False,2026-05-28T17:18:57Z,105
Nintendo Switch,kQmmov-keTU,PS5 vs Nintendo Switch!,https://www.youtube.com/watch?v=kQmmov-keTU,Life of Shubh,2025-09-20T12:35:12Z,3009672,618,50320.0,Ugxf9fSdR6o8z9TVMB14AaABAg,@Ethanxhunt,Switch 2 for Pokemon and Mario exclusive,switch 2 for pokemon and mario exclusive,0,english,False,False,,False,2026-03-20T05:44:43Z,40
Steam Deck,VYCFv25Z00A,The Steam Deck Sold Out AGAIN...,https://www.youtube.com/watch?v=VYCFv25Z00A,The WAN Show,2026-06-03T15:00:16Z,51294,468,1570.0,Ugx12604gPHyPj8MGUp4AaABAg,@deadvikingtrolls,"ah good, we've affirmed valve and now all of their shit will be grossly overpriced going forward. now every other part and player in the industry can follow suit and make gaming a full on luxury hobby for wealthy people, like golf. 👍","ah good, we've affirmed valve and now all of their shit will be grossly overpriced going forward. now every other part and player in the industry can follow suit and make gaming a full on luxury hobby for wealthy people, like golf. 👍",0,english,False,False,,False,2026-06-04T09:20:35Z,233
Steam Deck,oCHC2SK0s9A,Steam Deck in 2025 (Still Worth Getting?),https://www.youtube.com/watch?v=oCHC2SK0s9A,Garrett Crespo,2025-09-08T15:30:23Z,315626,752,6450.0,UgxLmKpqDapYgRAHPaZ4AaABAg,@AliceinWonderlands,"yepp, didnt regret my oled deck.. i do work/boring daily stuff on my macbook and gaming on the deck, its so freaking amazing as you mentioned with the no bullshit and clutter, just me in my little bubble world when i wanna be gone for a little from reality.","yepp, didnt regret my oled deck. i do work/boring daily stuff on my macbook and gaming on the deck, its so freaking amazing as you mentioned with the no bullshit and clutter, just me in my little bubble world when i wanna be gone for a little from reality.",0,english,False,False,,False,2026-01-04T08:26:47Z,256
Nintendo Switch,IDct11-EY4o,$10 vs $500 Nintendo Switch!,https://www.youtube.com/watch?v=IDct11-EY4o,EmSwizzle,2024-10-27T19:00:10Z,15379882,1155,237228.0,Ugz6vK6Mqo4zirKA9fZ4AaABAg,@Vishamplays,Switch lite is a real switch too bud,switch lite is a real switch too bud,0,english,False,False,,False,2026-04-30T12:48:19Z,36
Steam Deck,sYqisoq8Yp4,Should You Buy Steam Deck in 2025? Ft. Steam Deck OLED,https://www.youtube.com/watch?v=sYqisoq8Yp4,Venom's Tech,2024-12-24T16:21:03Z,211899,591,6572.0,Ugy29iEXu-qS1uV_I3F4AaABAg,@yogeshprajapat2149,8:10 to ha detail me video do bhai iska win 11 dal ke btao kya kya chal sakta hai isme,8:10 to ha detail me video do bhai iska win 11 dal ke btao kya kya chal sakta hai isme,0,hinglish,False,False,,False,2025-01-21T06:24:57Z,86
Nintendo Switch,1uEYIGw74cc,New Nintendo switch 2 games are too expensive!! #nintendo #Nintendoswitch,https://www.youtube.com/watch?v=1uEYIGw74cc,NDSrevival,2025-04-27T05:30:48Z,1958860,457,14113.0,UgycGcD3iOPi7xc4EIB4AaABAg,@Agent-A-12,Why do u have throw  gta 6 in ur trash 🚮,why do u have throw gta 6 in ur trash 🚮,0,english,False,False,,False,2026-05-19T17:51:06Z,39
Steam Deck,g291trLaqTA,Even The Steam Deck Got Hit,https://www.youtube.com/watch?v=g291trLaqTA,Dave2D,2026-05-30T16:47:17Z,331923,1814,13653.0,Ugyxrr6V1XK9j9Igt8F4AaABAg,@e_samurai,6:21 Meanwhile linux running on 512mb of RAM 😂,6:21 meanwhile linux running on 512mb of ram 😂,2,english,False,False,,False,2026-06-02T03:26:26Z,46
Nintendo Switch,y7KhI33j2E4,"Nintendo DIRECT : ça se CONFIRME ! 😱 SWITCH 2, les news tant attendues !! 🔥",https://www.youtube.com/watch?v=y7KhI33j2E4,Edouard_EMB,2026-06-04T04:30:05Z,6963,33,649.0,UgxfTcrieAk_WVFLZ2h4AaABAg,@Max2corde,"Coucou Edouard, et une bonne journée à toutes et tous ! Bientôt le week ☺️
Courage aux travailleurs 💪","coucou edouard, et une bonne journée à toutes et tous ! bientôt le week ☺️ courage aux travailleurs 💪",0,english,False,False,,False,2026-06-04T05:34:12Z,101
Steam Deck,sYqisoq8Yp4,Should You Buy Steam Deck in 2025? Ft. Steam Deck OLED,https://www.youtube.com/watch?v=sYqisoq8Yp4,Venom's Tech,2024-12-24T16:21:03Z,211899,591,6572.0,UgyYqNPZBlecgZFcKuh4AaABAg,@77sarvesh,Bhai MX2 ki website maat promote karna vo scam and scalping kartte hai,bhai mx2 ki website maat promote karna vo scam and scalping kartte hai,0,hinglish,False,False,,False,2024-12-26T10:04:04Z,70
Steam Deck,VYCFv25Z00A,The Steam Deck Sold Out AGAIN...,https://www.youtube.com/watch?v=VYCFv25Z00A,The WAN Show,2026-06-03T15:00:16Z,51294,468,1570.0,UgwMwbcpj6Jg7WqxGQh4AaABAg,@JEMODZ,tim sweeny complaining about price increases while epic games done price increases a couple months ago lmao,tim sweeny complaining about price increases while epic games done price increases a couple months ago lmao,0,english,False,False,,False,2026-06-03T21:27:50Z,107
Nintendo Switch,EXyrGU33d90,The Nintendo Switch 2 boot screen is everything #NintendoSwitch2 #Switch2,https://www.youtube.com/watch?v=EXyrGU33d90,Shannon Grixti,2025-06-05T13:12:02Z,7750311,1134,73935.0,Ugz-KefL6MnUIhGwG5J4AaABAg,@Hecatoncheir13,Masih bingung mau beli sekarang atau nunggu versi oled atau version 2 atau versi lite nya 😂,masih bingung mau beli sekarang atau nunggu versi oled atau version 2 atau versi lite nya 😂,1,english,False,False,,False,2026-02-04T03:11:22Z,91
Nintendo Switch,wM2ZvZwaIac,Nintendo Switch Airport Security!,https://www.youtube.com/watch?v=wM2ZvZwaIac,EmSwizzle,2025-03-12T19:00:46Z,17805721,695,289800.0,UgzWI5Hfr42cgbhNjuh4AaABAg,@FardMaster_5000,it is fine i put my switch in a bag,it is fine i put my switch in a bag,0,english,False,False,,False,2025-12-09T11:44:39Z,35
Nintendo Switch,wM2ZvZwaIac,Nintendo Switch Airport Security!,https://www.youtube.com/watch?v=wM2ZvZwaIac,EmSwizzle,2025-03-12T19:00:46Z,17805721,695,289800.0,Ugy1SXlxiZdu9TqLGNJ4AaABAg,@M.lydials,I’ve always taken my Switch with me and I’ve Never had Problems lol. And I usually have the whole docking Station and Everything else with me,i’ve always taken my switch with me and i’ve never had problems lol. and i usually have the whole docking station and everything else with me,0,english,False,False,,False,2026-02-01T22:03:49Z,141
Steam Deck,581EzlDCJyw,A Harsh Truth I Realized After Buying A Steam Deck,https://www.youtube.com/watch?v=581EzlDCJyw,Aman,2026-03-21T00:00:06Z,34098,161,1150.0,UgyGOOfFOORi1WipHbh4AaABAg,@RajasBagwe,Bro I Highly recommend u put decky on it and use lossless scaling doubles ur fps,bro i highly recommend u put decky on it and use lossless scaling doubles ur fps,0,english,False,False,,False,2026-03-29T16:45:04Z,80
Steam Deck,oCHC2SK0s9A,Steam Deck in 2025 (Still Worth Getting?),https://www.youtube.com/watch?v=oCHC2SK0s9A,Garrett Crespo,2025-09-08T15:30:23Z,315626,752,6450.0,Ugwrys7LkkQ8_kMerWR4AaABAg,@Skrunchgaming,"been fighting rog vs steam deck for months and month and months. With the black friday price, and this video, the decision was obvious","been fighting rog vs steam deck for months and month and months. with the black friday price, and this video, the decision was obvious",1,english,False,False,,False,2025-11-27T04:40:06Z,134
Iphone 17,slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,https://www.youtube.com/watch?v=slOtZZmLX0I,CallMeShazzam TECH,2025-11-07T08:57:56Z,627809,872,18788.0,UgzL0eOQ83WBcG2mp894AaABAg,@Amdan-0.1,Annaaaa.  iPhone 17 or oneplus 15 eethanu better,annaaaa. iphone 17 or oneplus 15 eethanu better,0,english,False,False,,False,2026-04-25T09:54:40Z,47
Iphone 17,ZUydETmYCgw,iPhone 17 - 3 Months Later (Long Term Review),https://www.youtube.com/watch?v=ZUydETmYCgw,Created Tech,2025-12-17T12:36:55Z,278079,335,4549.0,UgwlQRsTL60e6H_tSPt4AaABAg,@heatherbridge9304,I’m gonna be upgrading from my 15 I think I need to do it now or else I’ll never get a chance to upgrade cause here in a few months I’ll need to not do any spending more than beyond paying bills so I can move into an apartment with my bf it’s gonna be me paying for doin the laundry and all household stuff cause his job sucks lol he straight up told me do it now cause it will be 3+ yrs before you can do it again 😅,i’m gonna be upgrading from my 15 i think i need to do it now or else i’ll never get a chance to upgrade cause here in a few months i’ll need to not do any spending more than beyond paying bills so i can move into an apartment with my bf it’s gonna be me paying for doin the laundry and all household stuff cause his job sucks lol he straight up told me do it now cause it will be 3+ yrs before you can do it again 😅,0,english,False,False,,False,2026-03-20T04:16:58Z,416
Nintendo Switch,Z8LydHG7GXA,Nintendo Switch 2 Unboxing #nintendo #switch2,https://www.youtube.com/watch?v=Z8LydHG7GXA,Dominic Malta,2025-06-09T06:11:22Z,1990449,182,18471.0,Ugw6DcOnvR1FdzCgU5R4AaABAg,@millyzyra,Que perfeito 😢,que perfeito 😢,0,english,False,False,,False,2026-05-08T13:10:22Z,14
Nintendo Switch,EXyrGU33d90,The Nintendo Switch 2 boot screen is everything #NintendoSwitch2 #Switch2,https://www.youtube.com/watch?v=EXyrGU33d90,Shannon Grixti,2025-06-05T13:12:02Z,7750311,1134,73935.0,UgxdMgM-pdb9CiOP4yp4AaABAg,@Rimac-w4w,Wat is based man,wat is based man,0,english,False,False,,False,2026-04-16T16:49:16Z,16
Steam Deck,QoGV9pqqYrk,Nintendo Switch 2 vs. Steam Deck!,https://www.youtube.com/watch?v=QoGV9pqqYrk,EmSwizzle,2025-08-21T19:00:22Z,9331948,2259,154254.0,Ugz1DesCVO5EGqjdqKN4AaABAg,@saningremio7148,steam deck also has the legendary tf2,steam deck also has the legendary tf2,0,english,False,False,,False,2026-06-02T03:33:45Z,37
Iphone 17,rng_yUSwrgU,iPhone 17 Review: No Asterisks!,https://www.youtube.com/watch?v=rng_yUSwrgU,Marques Brownlee,2025-10-01T20:41:40Z,6042816,5667,166471.0,UgyWWj9fDiN8PG_40Ul4AaABAg,@BryanWolfe21,okay question i have a 13 thinking about upgrading to a 17 should i wait till the 18. ive been having problems since ios 26 update,okay question i have a 13 thinking about upgrading to a 17 should i wait till the 18. ive been having problems since ios 26 update,0,english,False,False,,False,2026-04-30T17:24:27Z,130
Steam Deck,2EyGYUyi5mI,The Steam Deck Has a Problem... (in 2026),https://www.youtube.com/watch?v=2EyGYUyi5mI,Garrett Crespo,2026-04-13T15:00:05Z,27422,216,522.0,UgybtQhFsmJ_NVKFMYl4AaABAg,@tranquillityEnthusiast,steam deck should release new successor,steam deck should release new successor,0,english,False,False,,False,2026-04-23T17:13:21Z,39
Steam Deck,MXdiREBHiWs,The Steam Deck is made for EVERYONE! 👊,https://www.youtube.com/watch?v=MXdiREBHiWs,RobinB360,2024-12-06T17:00:21Z,2585601,175,18709.0,Ugwj4AKkTx-UVdWiUjN4AaABAg,@tstnoob9675,I know its noting tragic but someone messed up while editing i think,i know its noting tragic but someone messed up while editing i think,0,english,False,False,,False,2025-01-25T15:32:53Z,68
Nintendo Switch,Anxm6kL6dDg,Unboxing the Nintendo Switch OLED Model!,https://www.youtube.com/watch?v=Anxm6kL6dDg,danomak,2021-10-26T18:35:23Z,7311591,1877,294263.0,UgwsHptsdVbqwgKFT3p4AaABAg,@KampoTasing,Why is your voice like 1980sgamer ?😮,why is your voice like 1980sgamer ?😮,0,english,False,False,,False,2026-02-12T08:44:28Z,36
Steam Deck,uCVXqoVi6RE,Almost Perfect - Steam Deck OLED Review,https://www.youtube.com/watch?v=uCVXqoVi6RE,Linus Tech Tips,2023-11-09T18:02:46Z,3032335,4400,86557.0,Ugxq6FYWGDKqNERceC14AaABAg,@fookoff8660,"absolutely terrible review. no benches, nothing about temps, nothing about how portable it is... this channel is as usual the worst ever","absolutely terrible review. no benches, nothing about temps, nothing about how portable it is. this channel is as usual the worst ever",1,english,False,False,,False,2025-07-30T12:22:29Z,134
Iphone 17,KoOWbSeL-Z8,😎 இதான் 2025 'ல் சிறந்த iPhone..🔥 iPhone 17 Review ⭐️Tech Superstar⭐️,https://www.youtube.com/watch?v=KoOWbSeL-Z8,Tech SuperStar,2025-10-19T04:30:18Z,438363,390,13293.0,UgzT_fh5j5KffL-Ljvd4AaABAg,@vickyvignesh5173,Vivo 300 pro camera details sollunga bro,vivo 300 pro camera details sollunga bro,0,english,False,False,,False,2025-10-26T14:03:34Z,40
Nintendo Switch,IDct11-EY4o,$10 vs $500 Nintendo Switch!,https://www.youtube.com/watch?v=IDct11-EY4o,EmSwizzle,2024-10-27T19:00:10Z,15379882,1155,237228.0,UgxeL44XBBDzYiJGI0R4AaABAg,@FDXx々,steam deck,steam deck,0,english,False,False,,False,2026-05-28T14:16:11Z,10
Steam Deck,s1zvE1Ug8SY,"Not Cool, Valve…",https://www.youtube.com/watch?v=s1zvE1Ug8SY,TechLinked,2026-05-28T00:50:48Z,273362,1146,13195.0,UgxATsteBnqDUfVYOTd4AaABAg,@warzechabodifo,"Вау, це неймовірно!","вау, це неймовірно!",0,unknown,False,False,,False,2026-06-01T08:22:30Z,19
Steam Deck,-ksz-zFhmGA,Is the Steam Deck OLED Worth It in 2026?,https://www.youtube.com/watch?v=-ksz-zFhmGA,Jon Valiagas,2026-02-21T15:00:01Z,184688,394,3335.0,Ugw3QSobXeUzJxO5Urd4AaABAg,@AbuHajarAlBugatti,Funny how you can see what countries are wealthy by availability of steamdecks. And that britain in europe funnily is the only country in main EU with ones showing their heavy decline in purchasing power and wealth,funny how you can see what countries are wealthy by availability of steamdecks. and that britain in europe funnily is the only country in main eu with ones showing their heavy decline in purchasing power and wealth,0,english,False,False,,False,2026-04-23T11:26:40Z,214
Nintendo Switch,nfuKcjwh4gQ,Nintendo Switch 1 vs OLED vs Nintendo Switch 2 ALL SIZES,https://www.youtube.com/watch?v=nfuKcjwh4gQ,Paper Tay,2025-06-10T06:37:34Z,2214665,204,11012.0,UgwLpnQf21IOSilKPnR4AaABAg,@nesleycomendador7430,i have it now my daddy can play 😎🗿🖥️,i have it now my daddy can play 😎🗿🖥️,1,english,False,False,,False,2026-01-12T05:46:04Z,36
Steam Deck,581EzlDCJyw,A Harsh Truth I Realized After Buying A Steam Deck,https://www.youtube.com/watch?v=581EzlDCJyw,Aman,2026-03-21T00:00:06Z,34098,161,1150.0,UgzdwwfLaI4V7r6Va9Z4AaABAg,@zmantv2635,What do you mean the steam deck lacks strong auto aim? That is a Software dependent thing not Hardware,what do you mean the steam deck lacks strong auto aim? that is a software dependent thing not hardware,0,english,False,False,,False,2026-04-05T22:08:08Z,102
Nintendo Switch,EXyrGU33d90,The Nintendo Switch 2 boot screen is everything #NintendoSwitch2 #Switch2,https://www.youtube.com/watch?v=EXyrGU33d90,Shannon Grixti,2025-06-05T13:12:02Z,7750311,1134,73935.0,UgwIdAo2eXM8zew7I2p4AaABAg,@RosaMoraGutierrez,I remember turning my switch two on,i remember turning my switch two on,0,english,False,False,,False,2026-02-07T19:41:14Z,35
Nintendo Switch,Kj-AZA4khVo,Nintendo Switch 2: A Pricey Disappointment?,https://www.youtube.com/watch?v=Kj-AZA4khVo,Venom's Tech,2025-07-03T14:00:00Z,595991,1258,24002.0,UgyqYbcAXSif9pDXwg14AaABAg,@GunjanPandey-s4z7w,Binod,binod,1,english,False,False,,False,2025-09-29T07:27:48Z,5
Nintendo Switch,kQmmov-keTU,PS5 vs Nintendo Switch!,https://www.youtube.com/watch?v=kQmmov-keTU,Life of Shubh,2025-09-20T12:35:12Z,3009672,618,50320.0,UgxYqrvGhDFv_KmHCWJ4AaABAg,@Next._.GEN._.Edit_67,"0:29 Daal Ke , Nikal Ke Was Epic","0:29 daal ke , nikal ke was epic",0,hinglish,False,False,,False,2026-05-07T13:18:41Z,32
